#	Atomic	number	Z=	12	Date:18-01-2021											
																
	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	LevelRadYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	1	K1K1	0	1	--->	K1L1	2	1	1336.57659	3.31686E-09	0.03479346	1.54248E-07	100	0.031354152	0.869796585	0.901150737
	2	K1K1	0	1	--->	K1L2	2	1	1374.34183	0.000741046	0.03479346	0.035435437	100	0.031354152	0.869796585	0.901150737
	3	K1K1	0	1	--->	K1L2	2	2	1368.52766	0.999258	0.03479346	47.5804838	100	0.031354152	0.869796585	0.901150737
	4	K1K1	0	1	--->	K1L2	4	1	1374.62883	9.11088E-07	0.03479346	4.35756E-05	100	0.031354152	0.869796585	0.901150737
	5	K1K1	0	1	--->	K1M1	2	1	1447.47172	2.58212E-10	0.03479346	1.30042E-08	100	0.031354152	0.869796585	0.901150737
	6	K1L1	0	1	--->	L1L2	2	1	1265.64141	9.90699E-05	0.012403396	0.000388806	25	0.021459852	1.708699567	1.73015942
	7	K1L1	0	1	--->	L1L2	2	2	1250.28168	0.999900158	0.012403396	3.876547578	25	0.021459852	1.708699567	1.73015942
	8	K1L1	0	1	--->	L1L2	4	1	1265.8375	7.57593E-07	0.012403396	2.97368E-06	25	0.021459852	1.708699567	1.73015942
	9	K1L1	0	1	--->	L1M1	2	1	1326.05596	1.49065E-08	0.012403396	6.1294E-08	25	0.021459852	1.708699567	1.73015942
	10	K1L1	2	1	--->	L1L1	0	1	1215.23591	2.18395E-09	0.007614112	1.5156E-08	75	0.011874587	1.54767533	1.559549918
	11	K1L1	2	1	--->	L1L2	0	1	1264.13549	0.111414904	0.007614112	0.804298814	75	0.011874587	1.54767533	1.559549918
	12	K1L1	2	1	--->	L1L2	2	1	1264.23184	0.334244712	0.007614112	2.413080349	75	0.011874587	1.54767533	1.559549918
	13	K1L1	2	1	--->	L1L2	2	2	1248.87211	3.736E-05	0.007614112	0.000266444	75	0.011874587	1.54767533	1.559549918
	14	K1L1	2	1	--->	L1L2	4	1	1264.42792	0.554303005	0.007614112	4.002412295	75	0.011874587	1.54767533	1.559549918
	15	K1L1	2	1	--->	L1M1	0	1	1324.39701	2.01766E-11	0.007614112	1.52597E-10	75	0.011874587	1.54767533	1.559549918
	16	K1L1	2	1	--->	L1M1	2	1	1324.64639	1.70725E-08	0.007614112	1.29145E-07	75	0.011874587	1.54767533	1.559549918
	17	K1L2	0	1	--->	L1L2	2	1	1263.6015	0.999998802	0.025880549	2.725221739	8.333333	0.008293481	0.312158788	0.320452269
	18	K1L2	0	1	--->	L1L2	4	1	1263.81714	3.48412E-07	0.025880549	9.49664E-07	8.333333	0.008293481	0.312158788	0.320452269
	19	K1L2	0	1	--->	L1L2	4	2	1259.15288	7.77777E-07	0.025880549	2.11215E-06	8.333333	0.008293481	0.312158788	0.320452269
	20	K1L2	0	1	--->	L1M1	2	1	1328.02298	4.55555E-09	0.025880549	1.30478E-08	8.333333	0.008293481	0.312158788	0.320452269
	21	K1L2	0	1	--->	L1M1	2	2	1327.46799	3.53968E-10	0.025880549	1.0134E-09	8.333333	0.008293481	0.312158788	0.320452269
	22	K1L2	0	1	--->	L1M1	4	1	1328.17657	6.65872E-08	0.025880549	1.90739E-07	8.333333	0.008293481	0.312158788	0.320452269
	23	K1L2	2	1	--->	L2L2	0	1	1263.32981	0.335837656	0.027606135	2.928139363	25	0.008310023	0.292710863	0.301020886
	24	K1L2	2	1	--->	L2L2	0	2	1252.15851	5.29103E-07	0.027606135	4.57241E-06	25	0.008310023	0.292710863	0.301020886
	25	K1L2	2	1	--->	L2L2	2	1	1263.41037	0.250294102	0.027606135	2.182431704	25	0.008310023	0.292710863	0.301020886
	26	K1L3	2	1	--->	L2L3	4	1	1263.62601	0.413460511	0.027606135	3.605771501	25	0.008310023	0.292710863	0.301020886
	27	K1L2	2	1	--->	L2L3	4	2	1258.96175	0.000407124	0.027606135	0.003537405	25	0.008310023	0.292710863	0.301020886
	28	K1L2	2	1	--->	L2M1	0	1	1327.71425	1.84552E-09	0.027606135	1.6911E-08	25	0.008310023	0.292710863	0.301020886
	29	K1L2	2	1	--->	L2M1	2	1	1327.83185	2.2178E-08	0.027606135	2.03241E-07	25	0.008310023	0.292710863	0.301020886
	30	K1L2	2	1	--->	L3M1	2	2	1327.27686	5.09301E-10	0.027606135	4.66532E-09	25	0.008310023	0.292710863	0.301020886
	31	K1L2	2	1	--->	L3M1	0	1	1327.98544	5.33063E-08	0.027606135	4.8856E-07	25	0.008310023	0.292710863	0.301020886
	32	K1L2	2	2	--->	L2L2	0	1	1269.14397	5.54755E-06	0.064838219	0.000114126	25	0.017322762	0.249846231	0.267168993
	33	K1L2	2	2	--->	L2L2	4	2	1257.97267	0.163766816	0.064838219	3.339398099	25	0.017322762	0.249846231	0.267168993
	34	K1L2	2	2	--->	L2L2	2	1	1269.22453	9.46124E-05	0.064838219	0.001946514	25	0.017322762	0.249846231	0.267168993
	35	K1L2	2	2	--->	L2L3	4	1	1269.44017	0.000200244	0.064838219	0.00412043	25	0.017322762	0.249846231	0.267168993
	36	K1L2	2	2	--->	L2L3	4	2	1264.77591	0.835932705	0.064838219	17.13783611	25	0.017322762	0.249846231	0.267168993
	37	K1L2	2	2	--->	L2M1	0	1	1333.52841	2.32921E-11	0.064838219	5.0348E-10	25	0.017322762	0.249846231	0.267168993
	38	K1L2	2	2	--->	L2M1	2	1	1333.64602	8.32133E-09	0.064838219	1.79889E-07	25	0.017322762	0.249846231	0.267168993
	39	K1L2	2	2	--->	L2M1	2	2	1333.09102	6.68746E-08	0.064838219	1.44508E-06	25	0.017322762	0.249846231	0.267168993
	40	K1L2	2	2	--->	L2M1	4	1	1333.79961	1.2577E-10	0.064838219	2.71918E-09	25	0.017322762	0.249846231	0.267168993
	41	K1L2	4	1	--->	L3M1	0	1	1263.0428	8.14364E-08	0.031322156	1.34239E-06	41.66667	0.008325002	0.257461351	0.265786353
	42	K1L2	4	1	--->	L3M1	0	2	1251.8715	1.39944E-07	0.031322156	2.28641E-06	41.66667	0.008325002	0.257461351	0.265786353
	43	K1L2	4	1	--->	L2L2	2	1	1263.12336	0.249843769	0.031322156	4.118648167	41.66667	0.008325002	0.257461351	0.265786353
	44	K1L2	4	1	--->	L2L2	4	1	1263.33901	0.749531306	0.031322156	12.358054	41.66667	0.008325002	0.257461351	0.265786353
	45	K1L2	4	1	--->	L3L2	4	2	1258.67475	0.000624609	0.031322156	0.010260357	41.66667	0.008325002	0.257461351	0.265786353
	46	K1L2	4	1	--->	L2M1	0	1	1327.42725	1.39153E-08	0.031322156	2.41071E-07	41.66667	0.008325002	0.257461351	0.265786353
	47	K1L2	4	1	--->	L2M1	2	1	1327.54485	2.86213E-08	0.031322156	4.95883E-07	41.66667	0.008325002	0.257461351	0.265786353
	48	K1L3	4	1	--->	L2M1	2	2	1326.98985	2.36403E-10	0.031322156	4.09412E-09	41.66667	0.008325002	0.257461351	0.265786353
	49	K1L3	4	1	--->	L2M1	4	1	1327.69844	5.13919E-08	0.031322156	8.90501E-07	41.66667	0.008325002	0.257461351	0.265786353
	50	K1M1	4	1	--->	L2M1	2	1	1254.95336	0.047404027	0.03175432	0.472264877	25	0.014579406	0.444552009	0.459131415
	51	K1M1	4	1	--->	L2M1	2	2	1254.39836	0.952595201	0.03175432	9.486078101	25	0.014579406	0.444552009	0.459131415
	52	K1M1	4	1	--->	L2M1	4	1	1255.10695	7.72008E-07	0.03175432	7.69211E-06	25	0.014579406	0.444552009	0.459131415
	53	K1M1	4	1	--->	L2M1	0	1	1254.58436	0.11086847	0.031913567	3.329235639	75	0.011755007	0.356583863	0.36833887
	54	K1M1	4	1	--->	L3M1	2	1	1254.70196	0.316367098	0.031913567	9.500982098	75	0.011755007	0.356583863	0.36833887
	55	K1M1	4	1	--->	L3M1	2	2	1254.14697	0.021781735	0.031913567	0.65384907	75	0.011755007	0.356583863	0.36833887
	56	K1M1	4	1	--->	L3M1	4	1	1254.85555	0.550982698	0.031913567	16.54886868	75	0.011755007	0.356583863	0.36833887
