#	Atomic	number	Z=	22	Date:24-03-2020											
																
#	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	LevelRadYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	1	K	1	1	--->	K	3	1	1.9904700E+00	3.2699780E-16	2.1762900E-01	1.5814270E-18	2.2000000E+00	3.9158110E-01	1.4077840E+00	1.7993650E+00
	2	K	1	1	--->	K	3	2	3.0211000E-01	9.2261960E-19	2.1762900E-01	4.4619741E-21	2.2000000E+00	3.9133650E-01	1.4078380E+00	1.7991750E+00
	3	K	1	1	--->	K	5	1	1.9958900E+00	2.3913860E-16	2.1762900E-01	1.1565222E-18	2.2000000E+00	3.8807420E-01	1.4076760E+00	1.7957510E+00
	4	K	1	1	--->	K	5	2	1.9433100E+00	1.8957350E-17	2.1762900E-01	9.1681512E-20	2.2000000E+00	3.8674500E-01	1.4074660E+00	1.7942110E+00
	5	K	1	1	--->	K	5	3	3.1339000E-01	4.7625630E-22	2.1762900E-01	2.3032710E-24	2.2000000E+00	3.9524320E-01	1.4079320E+00	1.8031750E+00
	6	K	1	1	--->	L1	1	1	4.4025290E+03	7.6644740E-08	2.1762900E-01	3.7066945E-10	2.2000000E+00	1.9677750E-01	4.8048590E+00	5.0016360E+00
	7	K	1	1	--->	L1	1	2	4.4004980E+03	7.8651180E-09	2.1762900E-01	3.8037286E-11	2.2000000E+00	1.9671380E-01	4.8689230E+00	5.0656370E+00
	8	K	1	1	--->	L1	1	3	4.3975440E+03	4.0632210E-15	2.1762900E-01	1.9650550E-17	2.2000000E+00	1.9675060E-01	4.9028100E+00	5.0995610E+00
	9	K	1	1	--->	L1	3	1	4.4045750E+03	1.5911870E-04	2.1762900E-01	7.6953009E-07	2.2000000E+00	1.9677280E-01	4.6538340E+00	4.8506060E+00
	10	K	1	1	--->	L1	3	2	4.4025160E+03	2.3832560E-05	2.1762900E-01	1.1525905E-07	2.2000000E+00	1.9677600E-01	4.7339020E+00	4.9306780E+00
