# Atomic number Z= 29  Date:21-08-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	   1	   K1	    0	[1S0]#1LS1 ---> 	 L1L1	    1	[2S1/2]#1LS1	     6.7172535E+03	         0.0116218	           8.67663
	   2	   K1	    0	[1S0]#1LS1 ---> 	 L1L2	    1	[2P1/2]#2LS1	     6.8812338E+03	        0.00159012	           17.5008
	   3	   K1	    0	[1S0]#1LS1 ---> 	 L1L2	    1	[4P1/2]#1LS1	     6.8812338E+03	        0.00159012	           17.5008
	   4	   K1	    0	[1S0]#1LS1 ---> 	 L1L3	    1	[2P1/2]#1LS1	     6.8905599E+03	       0.000625435	           16.6136
	   5	   K1	    0	[1S0]#1LS1 ---> 	 L1L3	    3	[2P3/2]#2LS1	     6.8906465E+03	        0.00419816	           15.3886
	   6	   K1	    0	[1S0]#1LS1 ---> 	 L1L3	    3	[4P3/2]#1LS1	     6.8906465E+03	        0.00419816	           15.3886
	   7	   K1	    0	[1S0]#1LS1 ---> 	 L1L3	    3	[2P3/2]#1LS1	     6.9018692E+03	        0.00450402	           18.5031
	   8	   K1	    0	[1S0]#1LS1 ---> 	 L1L3	    5	[4P5/2]#1LS1	     6.9020772E+03	        2.4712e-06	           18.8545
	   9	   K1	    0	[1S0]#1LS1 ---> 	 L2L2	    1	[2S1/2]#1LS1	     6.9913209E+03	        0.00472974	           2.18625
	  10	   K1	    0	[1S0]#1LS1 ---> 	 L2L3	    3	[2D3/2]#1LS1	     7.0203909E+03	         0.0250563	           2.39424
	  11	   K1	    0	[1S0]#1LS1 ---> 	 L2L3	    5	[2D5/2]#1LS1	     7.0204230E+03	         0.0374296	           2.16511
	  12	   K1	    0	[1S0]#1LS1 ---> 	 L2L3	    1	[2P1/2]#1LS1	     7.0308588E+03	       6.35197e-06	           2.57967
	  13	   K1	    0	[1S0]#1LS1 ---> 	 L2L3	    3	[4P3/2]#1LS1	     7.0309948E+03	       1.55008e-05	           3.34727
	  14	   K1	    0	[1S0]#1LS1 ---> 	 L3L3	    1	[4P1/2]#1LS1	     7.0356903E+03	        0.00152531	           3.17579
	  15	   K1	    0	[1S0]#1LS1 ---> 	 L3L3	    3	[2P3/2]#1LS1	     7.0488567E+03	        0.00335037	           3.54509
	  16	   K1	    0	[1S0]#1LS1 ---> 	 L3L3	    5	[4P5/2]#1LS1	     7.0490514E+03	         0.0060246	           3.27038
