# Atomic number Z= 29  Date:24-11-2022

# Register Shelli	2Ji		Eigi	 ---> 	 Shellf		2Jf		Eigf	Energy(eV)			Rate(s-1)		Width(eV)
	1  	   K1	    0	     1		 ---> 	 L1L1	    1	     1		6.7172535E+03     	9.5537810E+13  	0.3951126345635857
	2  	   K1	    0	     1		 ---> 	 L1L2	    1	     3		6.8496926E+03     	8.4381072E+13  	0.3489720736242501
	3  	   K1	    0	     1		 ---> 	 L1L2	    3	     3		6.8497405E+03     	1.0936905E+14  	0.45231404702720873
	4  	   K1	    0	     1		 ---> 	 L1L2	    1	     2		6.8812338E+03     	1.3071727E+13  	0.054060319084830985
	5  	   K1	    0	     1		 ---> 	 L1L3	    1	     1		6.8905599E+03     	5.1414466E+12  	0.02126331461432903
	6  	   K1	    0	     1		 ---> 	 L1L3	    3	     2		6.8906465E+03     	3.4511386E+13  	0.14272762422438665
	7  	   K1	    0	     1		 ---> 	 L1L3	    3	     1		6.9018692E+03     	3.7025713E+13  	0.15312604517546724
	8  	   K1	    0	     1		 ---> 	 L1L3	    5	     1		6.9020772E+03     	2.0314705E+10  	8.401486922226967e-05
	9  	   K1	    0	     1		 ---> 	 L2L2	    1	     3		6.9913209E+03     	3.8881273E+13  	0.16080002472545699
	10 	   K1	    0	     1		 ---> 	 L2L3	    3	     3		7.0203909E+03     	2.0597797E+14  	0.851856436616657
	11 	   K1	    0	     1		 ---> 	 L2L3	    5	     2		7.0204230E+03     	3.0769311E+14  	1.2725164553087744
	12 	   K1	    0	     1		 ---> 	 L2L3	    1	     2		7.0308588E+03     	5.2216971E+10  	0.0002159520401476688
	13 	   K1	    0	     1		 ---> 	 L2L3	    3	     2		7.0309948E+03     	1.2742598E+11  	0.000526991509117142
	14 	   K1	    0	     1		 ---> 	 L3L3	    1	     1		7.0356903E+03     	1.2538952E+13  	0.05185693872809459
	15 	   K1	    0	     1		 ---> 	 L3L3	    3	     1		7.0488567E+03     	2.7542041E+13  	0.11390472924560753
