# Atomic number Z= 29  Date:10-1-2023

# Number	ShakeI	ShakeF	2JJ	Probability
	1		K1		SUM		0	4.50E-07
	2		K1		4s		0	3.20E-07
	3   	K1      5s	    0   6.08E-08
	4   	K1      6s	    0   2.82E-08
	5  		K1      7s	    0   1.47E-08
	6   	K1      8s	    0   7.86E-09
	7    	K1      9s	    0   5.24E-09
	8    	K1      10s	    0   3.21E-09
	9    	K1      11s	    0   2.43E-09
	10    	K1      12s	    0   1.63E-09
	11   	K1      13s	    0   1.30E-09
	12   	K1      14s	    0   9.19E-10
	13   	K1      15s	    0   7.83E-10
	14   	K1      20s	    0   1.20E-10
	15   	K1      25s	    0   5.55E-11
	16   	K1      30s	    0   9.46E-12
	17   	K1      40s	    0   9.83E-12
	18   	K1      50s	    0   4.98E-12
	19		L1		SUM		0	7.71368E-05
	20		L1		4s		0	5.05E-05
	21		L1		5s		0	7.47E-06
	22		L1		6s		0	1.94E-06
	23		L1		7s		0	9.20E-07
	24		L1		8s		0	5.52E-07
	25		L1		9s		0	3.27E-07
	26		L1		10s		0	2.22E-07
	27		L1		11s		0	1.28E-07
	28		L1		12s		0	1.21E-07
	29		L1		13s		0	6.29E-08
	30		L1		14s		0	3.97E-08
	31		L1		15s		0	2.05E-08
	32		L1		20s		0	7.81E-09
	33		L1		25s		0	2.81E-09
	34		L1		30s		0	5.43E-10
	35		L1		40s		0	2.44E-10
	36		L1		50s		0	2.02E-10
	37		M1		SUM		0	8.09E-04
	38		M1		4s		0	6.53E-04
	39		M1		5s		0	6.18E-05
	40		M1		6s		0	3.22E-05
	41		M1		7s		0	2.15E-05
	42		M1		8s		0	1.71E-07
	43		M1		9s		0	2.13E-06
	44		M1		10s		0	3.42E-05
	45		M1		11s		0	1.58E-06
	46		M1		12s		0	5.48E-07
	47		M1		13s		0	2.34E-08
	48		M1		14s		0	4.23E-08
	49		M1		15s		0	9.07E-08
	50		M1		20s		0	3.41E-08
	51		M1		25s		0	2.99E-07
	52		M1		30s		0	7.67E-08
	53		M1		40s		0	5.48E-10
	54		M1		50s		0	1.31E-10
	55		N1		SUM		0	0.048911387
	56		N1		5s		0	4.09E-02
	57		N1		6s		0	4.73E-03
	58		N1		7s		0	1.37E-03
	59		N1		8s		0	6.27E-04
	60		N1		9s		0	4.40E-04
	61		N1		10s		0	3.91E-04
	62		N1		11s		0	1.63E-04
	63		N1		12s		0	7.42E-05
	64		N1		13s		0	1.85E-05
	65		N1		14s		0	1.02E-05
	66		N1		15s		0	1.73E-05
	67		N1		20s		0	2.18E-05
	68		N1		25s		0	1.21E-05
	69		N1		30s		0	3.02E-06
	70		N1		40s		0	2.60E-07
	71		N1		50s		0	1.27E-07
	72		L2		SUM		0	0.000208775
	73		L2		4p		0	1.95E-04
	74		L2		5p		0	1.08E-05
	75		L2		6p		0	6.60E-07
	76		L2		7p		0	3.46E-07
	77		L2		8p		0	2.04E-07
	78		L2		9p		0	1.29E-07
	79		L2		10p		0	2.55E-08
	80		L2		11p		0	7.71E-08
	81		L2		12p		0	4.49E-08
	82		L2		13p		0	3.49E-07
	83		L2		14p		0	3.39E-07
	84		L2		15p		0	2.76E-07
	85		L2		20p		0	6.13E-09
	86		L2		25p		0	3.00E-09
	87		L2		30p		0	1.92E-09
	88		L2		40p		0	7.31E-10
	89		L2		50p		0	4.06E-10
	90		L3		SUM		0	0.000384624
	91		L3		4p		0	2.61E-04
	92		L3		5p		0	5.83E-05
	93		L3		6p		0	2.50E-05
	94		L3		7p		0	1.30E-05
	95		L3		8p		0	7.67E-06
	96		L3		9p		0	4.86E-06
	97		L3		10p		0	3.29E-06
	98		L3		11p		0	2.33E-06
	99		L3		12p		0	1.71E-06
	100		L3		13p		0	1.28E-06
	101		L3		14p		0	9.91E-07
	102		L3		15p		0	7.83E-07
	103		L3		20p		0	2.96E-07
	104		L3		25p		0	1.43E-07
	105		L3		30p		0	8.47E-08
	106		L3		40p		0	3.21E-08
	107		L3		50p		0	1.89E-08
	108		M2		SUM		0	0.002501209
	109		M2		4p		0	1.87E-03
	110		M2		5p		0	4.02E-04
	111		M2		6p		0	1.93E-04
	112		M2		7p		0	1.67E-05
	113		M2		8p		0	9.16E-06
	114		M2		9p		0	2.62E-06
	115		M2		10p		0	1.51E-06
	116		M2		11p		0	1.05E-06
	117		M2		12p		0	9.66E-07
	118		M2		13p		0	1.55E-06
	119		M2		14p		0	2.90E-07
	120		M2		15p		0	2.20E-07
	121		M2		20p		0	2.56E-07
	122		M2		25p		0	1.27E-09
	123		M2		30p		0	7.52E-10
	124		M2		40p		0	3.20E-10
	125		M2		50p		0	1.63E-10
	126		M3		SUM		0	0.009435367
	127		M3		4p		0	5.72E-03
	128		M3		5p		0	1.87E-03
	129		M3		6p		0	6.61E-04
	130		M3		7p		0	4.04E-04
	131		M3		8p		0	2.38E-04
	132		M3		9p		0	1.50E-04
	133		M3		10p		0	1.01E-04
	134		M3		11p		0	7.10E-05
	135		M3		12p		0	5.16E-05
	136		M3		13p		0	3.82E-05
	137		M3		14p		0	3.07E-05
	138		M3		15p		0	2.43E-05
	139		M3		20p		0	9.93E-06
	140		M3		25p		0	2.54E-06
	141		M3		30p		0	1.41E-06
	142		M3		40p		0	5.68E-07
	143		M3		50p		0	2.83E-07
	144		M4		SUM		0	0.039874497
	145		M4		4d		0	2.19E-02
	146		M4		5d		0	1.16E-02
	147		M4		6d		0	4.29E-03
	148		M4		7d		0	1.45E-03
	149		M4		8d		0	7.94E-05
	150		M4		9d		0	4.80E-05
	151		M4		10d		0	1.68E-05
	152		M4		11d		0	2.05E-05
	153		M4		12d		0	1.45E-05
	154		M4		13d		0	1.05E-05
	155		M4		14d		0	8.58E-06
	156		M4		15d		0	6.28E-06
	157		M4		20d		0	7.63E-06
	158		M4		25d		0	3.31E-05
	159		M4		30d		0	1.86E-05
	160		M4		40d		0	7.70E-06
	161		M4		50d		0	3.90E-06
	162		M5		SUM		0	0.072658538
	163		M5		4d		0	3.26E-02
	164		M5		5d		0	1.79E-02
	165		M5		6d		0	7.84E-03
	166		M5		7d		0	4.22E-03
	167		M5		8d		0	2.55E-03
	168		M5		9d		0	1.67E-03
	169		M5		10d		0	1.52E-03
	170		M5		11d		0	8.33E-04
	171		M5		12d		0	6.22E-04
	172		M5		13d		0	4.74E-04
	173		M5		14d		0	3.77E-04
	174		M5		15d		0	2.94E-04
	175		M5		20d		0	1.62E-04
	176		M5		25d		0	4.40E-05
	177		M5		30d		0	2.48E-05
	178		M5		40d		0	1.01E-05
	179		M5		50d		0	5.09E-06
	180		K1		SUM		2	7.54881E-08
	181		K1		4s		2	0.00E+00
	182		K1		5s		2	3.78E-08
	183		K1		6s		2	1.56E-08
	184		K1		7s		2	7.35E-09
	185		K1		8s		2	4.45E-09
	186		K1		9s		2	2.61E-09
	187		K1		10s		2	1.82E-09
	188		K1		11s		2	1.21E-09
	189		K1		12s		2	9.18E-10
	190		K1		13s		2	6.56E-10
	191		K1		14s		2	5.26E-10
	192		K1		15s		2	4.06E-10
	193		K1		20s		2	1.51E-10
	194		K1		25s		2	6.87E-11
	195		K1		30s		2	3.81E-11
	196		K1		40s		2	1.55E-11
	197		K1		50s		2	7.58E-12
	198		L1		SUM		2	1.36523E-05
	199		L1		4s		2	1.21E-05
	200		L1		5s		2	1.29E-06
	201		L1		6s		2	6.91E-08
	202		L1		7s		2	4.56E-08
	203		L1		8s		2	8.87E-08
	204		L1		9s		2	1.67E-08
	205		L1		10s		2	7.42E-09
	206		L1		11s		2	2.15E-08
	207		L1		12s		2	1.56E-08
	208		L1		13s		2	3.66E-09
	209		L1		14s		2	1.12E-08
	210		L1		15s		2	1.19E-08
	211		L1		20s		2	6.28E-09
	212		L1		25s		2	8.41E-10
	213		L1		30s		2	8.16E-10
	214		L1		40s		2	5.37E-10
	215		L1		50s		2	1.90E-10
	216		M1		SUM		2	0.000498117
	217		M1		4s		2	1.80E-04
	218		M1		5s		2	1.83E-04
	219		M1		6s		2	8.42E-05
	220		M1		7s		2	3.64E-05
	221		M1		8s		2	1.52E-06
	222		M1		9s		2	3.68E-06
	223		M1		10s		2	2.55E-06
	224		M1		11s		2	1.78E-06
	225		M1		12s		2	1.05E-06
	226		M1		13s		2	1.14E-06
	227		M1		14s		2	1.17E-06
	228		M1		15s		2	5.00E-07
	229		M1		20s		2	8.21E-08
	230		M1		25s		2	9.21E-08
	231		M1		30s		2	4.59E-08
	232		M1		40s		2	2.79E-08
	233		M1		50s		2	1.18E-08
	234		N1		SUM		2	0.044614787
	235		N1		5s		2	3.76E-02
	236		N1		6s		2	4.23E-03
	237		N1		7s		2	1.25E-03
	238		N1		8s		2	5.58E-04
	239		N1		9s		2	3.03E-04
	240		N1		10s		2	1.85E-04
	241		N1		11s		2	1.22E-04
	242		N1		12s		2	8.53E-05
	243		N1		13s		2	6.20E-05
	244		N1		14s		2	2.83E-05
	245		N1		15s		2	3.59E-05
	246		N1		20s		2	1.10E-05
	247		N1		25s		2	5.88E-06
	248		N1		30s		2	2.10E-06
	249		N1		40s		2	2.68E-07
	250		N1		50s		2	4.39E-08
	251		L2		SUM		2	9.54282E-05
	252		L2		4p		2	7.45E-05
	253		L2		5p		2	1.39E-05
	254		L2		6p		2	3.29E-06
	255		L2		7p		2	3.31E-06
	256		L2		8p		2	1.97E-07
	257		L2		9p		2	1.26E-07
	258		L2		10p		2	2.52E-08
