"8000	","	0.0163054"
"8001	","	0.0177444"
"8002	","	0.0202601"
"8003	","	0.0207657"
"8004	","	0.0229842"
"8005	","	0.0228506"
"8006	","	0.023845"
"8007	","	0.0278082"
"8008	","	0.0291273"
"8009	","	0.0299698"
"8010	","	0.032252"
"8011	","	0.0388955"
"8012	","	0.0419742"
"8013	","	0.0466144"
"8014	","	0.052207"
"8015	","	0.0576156"
"8016	","	0.0656867"
"8017	","	0.0751331"
"8018	","	0.0878665"
"8019	","	0.106131"
"8020	","	0.133478"
"8020.01	","	0.126708"
"8020.02	","	0.139787"
"8020.03	","	0.12789"
"8020.04	","	0.155306"
"8020.05	","	0.127873"
"8020.06	","	0.126863"
"8020.07	","	0.128562"
"8020.08	","	0.140031"
"8020.09	","	0.125984"
"8020.1	","	0.143417"
"8020.11	","	0.140614"
"8020.12	","	0.13658"
"8020.13	","	0.1298"
"8020.14	","	0.134801"
"8020.15	","	0.132371"
"8020.16	","	0.139218"
"8020.17	","	0.138212"
"8020.18	","	0.143862"
"8020.19	","	0.148023"
"8020.2	","	0.145776"
"8020.21	","	0.144861"
"8020.22	","	0.134575"
"8020.23	","	0.153839"
"8020.24	","	0.142942"
"8020.25	","	0.142069"
"8020.26	","	0.144538"
"8020.27	","	0.143157"
"8020.28	","	0.1504"
"8020.29	","	0.144059"
"8020.3	","	0.14606"
"8020.31	","	0.142852"
"8020.32	","	0.138686"
"8020.33	","	0.144129"
"8020.34	","	0.149584"
"8020.35	","	0.145243"
"8020.36	","	0.154447"
"8020.37	","	0.147685"
"8020.38	","	0.145344"
"8020.39	","	0.154481"
"8020.4	","	0.13794"
"8020.41	","	0.132002"
"8020.42	","	0.155469"
"8020.43	","	0.151197"
"8020.44	","	0.152898"
"8020.45	","	0.146694"
"8020.46	","	0.151006"
"8020.47	","	0.155918"
"8020.48	","	0.159797"
"8020.49	","	0.148446"
"8020.5	","	0.152406"
"8020.51	","	0.16578"
"8020.52	","	0.150356"
"8020.53	","	0.160236"
"8020.54	","	0.155668"
"8020.55	","	0.144116"
"8020.56	","	0.164982"
"8020.57	","	0.165346"
"8020.58	","	0.154877"
"8020.59	","	0.145625"
"8020.6	","	0.159384"
"8020.61	","	0.15105"
"8020.62	","	0.158963"
"8020.63	","	0.152883"
"8020.64	","	0.15591"
"8020.65	","	0.152475"
"8020.66	","	0.169829"
"8020.67	","	0.159548"
"8020.68	","	0.15414"
"8020.69	","	0.16"
"8020.7	","	0.165319"
"8020.71	","	0.173981"
"8020.72	","	0.156482"
"8020.73	","	0.158673"
"8020.74	","	0.158167"
"8020.75	","	0.159308"
"8020.76	","	0.161534"
"8020.77	","	0.17889"
"8020.78	","	0.171432"
"8020.79	","	0.163368"
"8020.8	","	0.171314"
"8020.81	","	0.170278"
"8020.82	","	0.161202"
"8020.83	","	0.176749"
"8020.84	","	0.163912"
"8020.85	","	0.168383"
"8020.86	","	0.158238"
"8020.87	","	0.179335"
"8020.88	","	0.177824"
"8020.89	","	0.174464"
"8020.9	","	0.171009"
"8020.91	","	0.175741"
"8020.92	","	0.169835"
"8020.93	","	0.179222"
"8020.94	","	0.169936"
"8020.95	","	0.174386"
"8020.96	","	0.174387"
"8020.97	","	0.172797"
"8020.98	","	0.181897"
"8020.99	","	0.180865"
"8021	","	0.182719"
"8021.01	","	0.173891"
"8021.02	","	0.167059"
"8021.03	","	0.183954"
"8021.04	","	0.192755"
"8021.05	","	0.177428"
"8021.06	","	0.181103"
"8021.07	","	0.173902"
"8021.08	","	0.170125"
"8021.09	","	0.177566"
"8021.1	","	0.181936"
"8021.11	","	0.176158"
"8021.12	","	0.187394"
"8021.13	","	0.177278"
"8021.14	","	0.188774"
"8021.15	","	0.190143"
"8021.16	","	0.182101"
"8021.17	","	0.199144"
"8021.18	","	0.189638"
"8021.19	","	0.193795"
"8021.2	","	0.181801"
"8021.21	","	0.193122"
"8021.22	","	0.173859"
"8021.23	","	0.187839"
"8021.24	","	0.194326"
"8021.25	","	0.198917"
"8021.26	","	0.186868"
"8021.27	","	0.200881"
"8021.28	","	0.193664"
"8021.29	","	0.188563"
"8021.3	","	0.191944"
"8021.31	","	0.200691"
"8021.32	","	0.186083"
"8021.33	","	0.192997"
"8021.34	","	0.202094"
"8021.35	","	0.197027"
"8021.36	","	0.194359"
"8021.37	","	0.187985"
"8021.38	","	0.201303"
"8021.39	","	0.196196"
"8021.4	","	0.201062"
"8021.41	","	0.199397"
"8021.42	","	0.195936"
"8021.43	","	0.192948"
"8021.44	","	0.19765"
"8021.45	","	0.209702"
"8021.46	","	0.214859"
"8021.47	","	0.199339"
"8021.48	","	0.205108"
"8021.49	","	0.203044"
"8021.5	","	0.196153"
"8021.51	","	0.202791"
"8021.52	","	0.208975"
"8021.53	","	0.202075"
"8021.54	","	0.209253"
"8021.55	","	0.202907"
"8021.56	","	0.207577"
"8021.57	","	0.229591"
"8021.58	","	0.216249"
"8021.59	","	0.21173"
"8021.6	","	0.221615"
"8021.61	","	0.219694"
"8021.62	","	0.210415"
"8021.63	","	0.213146"
"8021.64	","	0.213592"
"8021.65	","	0.212098"
"8021.66	","	0.223112"
"8021.67	","	0.212286"
"8021.68	","	0.222207"
"8021.69	","	0.226233"
"8021.7	","	0.212102"
"8021.71	","	0.226469"
"8021.72	","	0.228363"
"8021.73	","	0.21923"
"8021.74	","	0.2243"
"8021.75	","	0.231798"
"8021.76	","	0.23383"
"8021.77	","	0.235446"
"8021.78	","	0.224388"
"8021.79	","	0.22432"
"8021.8	","	0.228669"
"8021.81	","	0.223823"
"8021.82	","	0.229698"
"8021.83	","	0.22325"
"8021.84	","	0.231195"
"8021.85	","	0.226263"
"8021.86	","	0.245474"
"8021.87	","	0.241026"
"8021.88	","	0.241722"
"8021.89	","	0.245452"
"8021.9	","	0.24146"
"8021.91	","	0.240117"
"8021.92	","	0.239582"
"8021.93	","	0.23642"
"8021.94	","	0.244455"
"8021.95	","	0.241581"
"8021.96	","	0.244012"
"8021.97	","	0.241722"
"8021.98	","	0.24148"
"8021.99	","	0.257975"
"8022	","	0.236411"
"8022.01	","	0.236569"
"8022.02	","	0.243126"
"8022.03	","	0.235359"
"8022.04	","	0.256291"
"8022.05	","	0.246631"
"8022.06	","	0.258749"
"8022.07	","	0.25455"
"8022.08	","	0.247509"
"8022.09	","	0.234677"
"8022.1	","	0.256212"
"8022.11	","	0.252069"
"8022.12	","	0.244013"
"8022.13	","	0.259119"
"8022.14	","	0.259194"
"8022.15	","	0.264873"
"8022.16	","	0.269016"
"8022.17	","	0.251629"
"8022.18	","	0.259174"
"8022.19	","	0.249163"
"8022.2	","	0.276614"
"8022.21	","	0.264512"
"8022.22	","	0.262558"
"8022.23	","	0.264018"
"8022.24	","	0.265824"
"8022.25	","	0.281863"
"8022.26	","	0.265731"
"8022.27	","	0.271532"
"8022.28	","	0.263944"
"8022.29	","	0.277217"
"8022.3	","	0.259827"
"8022.31	","	0.282431"
"8022.32	","	0.283383"
"8022.33	","	0.277916"
"8022.34	","	0.268215"
"8022.35	","	0.274683"
"8022.36	","	0.280433"
"8022.37	","	0.278644"
"8022.38	","	0.279527"
"8022.39	","	0.280607"
"8022.4	","	0.285823"
"8022.41	","	0.283563"
"8022.42	","	0.285464"
"8022.43	","	0.286427"
"8022.44	","	0.277672"
"8022.45	","	0.288744"
