# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	   1	   K1	    0	         1 ---> 	 L1L1	    1	         1	           6717.25	          0.010361	           1.51732
	   2	   K1	    0	         1 ---> 	 L1L2	    1	         3	           6849.69	        0.00915109	           1.51732
	   3	   K1	    0	         1 ---> 	 L1L2	    3	         3	           6849.74	          0.011861	           1.51732
	   4	   K1	    0	         1 ---> 	 L1L2	    1	         2	           6881.23	        0.00141762	           1.51732
	   5	   K1	    0	         1 ---> 	 L1L3	    1	         1	           6890.56	       0.000557588	           1.51732
	   6	   K1	    0	         1 ---> 	 L1L3	    3	         2	           6890.65	        0.00374275	           1.51732
	   7	   K1	    0	         1 ---> 	 L1L3	    3	         1	           6901.87	        0.00401542	           1.51732
	   8	   K1	    0	         1 ---> 	 L1L3	    5	         1	           6902.08	       2.20312e-06	           1.51732
	   9	   K1	    0	         1 ---> 	 L2L2	    1	         3	           6991.32	        0.00421666	           1.51732
	  10	   K1	    0	         1 ---> 	 L2L3	    3	         3	           7020.39	         0.0223382	           1.51732
	  11	   K1	    0	         1 ---> 	 L2L3	    5	         2	           7020.42	         0.0333692	           1.51732
	  12	   K1	    0	         1 ---> 	 L2L3	    1	         2	           7030.86	       5.66291e-06	           1.51732
	  13	   K1	    0	         1 ---> 	 L2L3	    3	         2	           7030.99	       1.38193e-05	           1.51732
	  14	   K1	    0	         1 ---> 	 L3L3	    1	         1	           7035.69	        0.00135984	           1.51732
	  15	   K1	    0	         1 ---> 	 L3L3	    3	         1	           7048.86	        0.00298692	           1.51732
	  16	   K1	    0	         1 ---> 	 L3L3	    5	         1	           7049.05	        0.00537105	           1.51732
	  17	   K1	    0	         1 ---> 	 L1M1	    1	         2	           7728.22	        0.00246709	           1.51732
	  18	   K1	    0	         1 ---> 	 L1M1	    1	         1	           7729.27	       1.81152e-05	           1.51732
	  19	   K1	    0	         1 ---> 	 L1M1	    3	         1	           7729.46	        1.1371e-09	           1.51732
	  20	   K1	    0	         1 ---> 	 L1M2	    3	         3	           7772.49	       0.000703826	           1.51732
	  21	   K1	    0	         1 ---> 	 L1M2	    1	         3	           7772.56	        0.00128054	           1.51732
	  22	   K1	    0	         1 ---> 	 L1M2	    1	         2	           7773.38	       2.67725e-05	           1.51732
	  23	   K1	    0	         1 ---> 	 L1M3	    1	         1	           7775.07	       5.24215e-05	           1.51732
	  24	   K1	    0	         1 ---> 	 L1M3	    3	         2	           7775.36	        0.00143936	           1.51732
	  25	   K1	    0	         1 ---> 	 L1M3	    3	         1	           7775.74	       0.000114353	           1.51732
	  26	   K1	    0	         1 ---> 	 L1M3	    5	         1	           7776.39	       2.63639e-07	           1.51732
	  27	   K1	    0	         1 ---> 	 L1M5	    5	         3	           7851.64	       2.14804e-06	           1.51732
	  28	   K1	    0	         1 ---> 	 L1M5	    3	         3	           7851.66	       3.59386e-06	           1.51732
	  29	   K1	    0	         1 ---> 	 L1M4	    3	         2	           7853.63	       6.87108e-05	           1.51732
	  30	   K1	    0	         1 ---> 	 L1M5	    5	         2	           7853.88	        9.6559e-05	           1.51732
	  31	   K1	    0	         1 ---> 	 L1M4	    1	         1	           7854.12	       5.42565e-09	           1.51732
	  32	   K1	    0	         1 ---> 	 L1M4	    3	         1	            7854.2	       3.06159e-07	           1.51732
	  33	   K1	    0	         1 ---> 	 L1M5	    5	         1	           7854.33	       7.97856e-07	           1.51732
	  34	   K1	    0	         1 ---> 	 L1M5	    7	         1	           7854.47	        5.8447e-09	           1.51732
	  35	   K1	    0	         1 ---> 	 L1N1	    1	         1	           7863.38	       5.49687e-06	           1.51732
	  36	   K1	    0	         1 ---> 	 L2M1	    1	         3	           7873.36	       0.000931821	           1.51732
	  37	   K1	    0	         1 ---> 	 L2M1	    3	         3	           7873.53	       0.000311844	           1.51732
	  38	   K1	    0	         1 ---> 	 L2M1	    1	         2	           7874.48	       8.07325e-05	           1.51732
	  39	   K1	    0	         1 ---> 	 L3M1	    3	         2	           7892.78	        0.00151849	           1.51732
	  40	   K1	    0	         1 ---> 	 L3M1	    1	         1	           7892.85	       0.000205348	           1.51732
	  41	   K1	    0	         1 ---> 	 L3M1	    3	         1	           7894.49	        0.00028722	           1.51732
	  42	   K1	    0	         1 ---> 	 L3M1	    5	         1	           7894.65	       2.97584e-07	           1.51732
	  43	   K1	    0	         1 ---> 	 L2M2	    1	         6	           7915.59	        0.00068372	           1.51732
	  44	   K1	    0	         1 ---> 	 L2M3	    3	         7	           7921.31	        0.00259359	           1.51732
	  45	   K1	    0	         1 ---> 	 L2M3	    5	         4	           7921.61	        0.00441728	           1.51732
	  46	   K1	    0	         1 ---> 	 L2M3	    1	         5	           7922.32	       1.77519e-06	           1.51732
	  47	   K1	    0	         1 ---> 	 L2M3	    3	         6	           7922.69	       1.50313e-05	           1.51732
	  48	   K1	    0	         1 ---> 	 L2M2	    3	         4	           7923.17	       6.56404e-06	           1.51732
	  49	   K1	    0	         1 ---> 	 L2M2	    3	         5	           7923.19	       6.80901e-05	           1.51732
	  50	   K1	    0	         1 ---> 	 L2M2	    1	         4	           7923.36	       5.63494e-07	           1.51732
	  51	   K1	    0	         1 ---> 	 L3M2	    5	         3	           7939.59	        0.00386315	           1.51732
	  52	   K1	    0	         1 ---> 	 L3M2	    1	         2	           7939.99	       1.94595e-05	           1.51732
	  53	   K1	    0	         1 ---> 	 L3M2	    3	         3	           7940.23	       6.82923e-05	           1.51732
	  54	   K1	    0	         1 ---> 	 L3M2	    3	         2	           7940.73	        0.00016795	           1.51732
	  55	   K1	    0	         1 ---> 	 L3M2	    5	         2	           7940.93	       7.52582e-05	           1.51732
	  56	   K1	    0	         1 ---> 	 L3M3	    1	         3	           7943.39	         0.0006938	           1.51732
	  57	   K1	    0	         1 ---> 	 L3M3	    5	         1	           7945.56	       3.81528e-05	           1.51732
	  58	   K1	    0	         1 ---> 	 L3M3	    7	         1	           7945.96	       7.07795e-09	           1.51732
	  59	   K1	    0	         1 ---> 	 L3M3	    1	         1	           7945.99	       2.08802e-06	           1.51732
	  60	   K1	    0	         1 ---> 	 L3M3	    3	         1	           7946.06	       1.35345e-06	           1.51732
	  61	   K1	    0	         1 ---> 	 L2M4	    3	         7	           7999.26	       1.04714e-07	           1.51732
	  62	   K1	    0	         1 ---> 	 L2M4	    1	         4	           7999.46	        2.9936e-06	           1.51732
	  63	   K1	    0	         1 ---> 	 L2M5	    5	         7	           8000.12	       3.18106e-05	           1.51732
	  64	   K1	    0	         1 ---> 	 L2M5	    7	         4	           8000.39	       0.000369955	           1.51732
	  65	   K1	    0	         1 ---> 	 L2M5	    3	         6	           8000.85	       5.32794e-06	           1.51732
	  66	   K1	    0	         1 ---> 	 L2M5	    5	         6	           8001.15	       4.20451e-06	           1.51732
	  67	   K1	    0	         1 ---> 	 L2M4	    5	         5	           8002.35	       0.000103377	           1.51732
	  68	   K1	    0	         1 ---> 	 L2M4	    3	         5	           8002.56	       1.73266e-07	           1.51732
	  69	   K1	    0	         1 ---> 	 L2N1	    1	         1	           8010.75	       4.26103e-07	           1.51732
	  70	   K1	    0	         1 ---> 	 L3M5	    1	         3	           8020.58	       1.85226e-08	           1.51732
	  71	   K1	    0	         1 ---> 	 L3M5	    3	         4	           8020.71	       3.24564e-06	           1.51732
	  72	   K1	    0	         1 ---> 	 L3M5	    5	         4	           8021.02	        0.00029136	           1.51732
	  73	   K1	    0	         1 ---> 	 L3M4	    7	         3	           8021.02	        0.00011367	           1.51732
	  74	   K1	    0	         1 ---> 	 L3M4	    1	         2	           8021.81	       4.37869e-06	           1.51732
	  75	   K1	    0	         1 ---> 	 L3M4	    3	         3	           8022.16	       3.73094e-06	           1.51732
	  76	   K1	    0	         1 ---> 	 L3M4	    1	         1	           8022.27	       1.21371e-06	           1.51732
	  77	   K1	    0	         1 ---> 	 L3M4	    3	         2	           8022.74	       2.50199e-06	           1.51732
	  78	   K1	    0	         1 ---> 	 L3M4	    5	         3	           8022.87	       2.83169e-05	           1.51732
	  79	   K1	    0	         1 ---> 	 L3M4	    5	         2	           8023.62	       6.97033e-05	           1.51732
	  80	   K1	    0	         1 ---> 	 L3M5	    7	         2	           8023.85	       4.78017e-05	           1.51732
	  81	   K1	    0	         1 ---> 	 L3M5	    7	         1	            8024.7	       0.000183309	           1.51732
	  82	   K1	    0	         1 ---> 	 L3M5	    5	         1	           8024.75	       1.20122e-05	           1.51732
