# Atomic	number	Z=	34	Date:31-10-2019							
											
# Record	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	Rate(1/s)	Width(eV)	Peso
1	K	1	1	--->	K	3	1	2.140400E-01	1.613620E-01	1.062104E-16	6.666667E-02
2	K	1	1	--->	K	5	1	4.507200E-01	5.137480E-04	3.381551E-19	6.666667E-02
3	K	1	1	--->	L1	1	1	1.099666E+04	1.718320E+08	1.131019E-07	6.666667E-02
4	K	1	1	--->	L1	1	2	1.099642E+04	6.178480E+08	4.066749E-07	6.666667E-02
5	K	1	1	--->	L1	1	3	1.099285E+04	2.107580E+04	1.387234E-11	6.666667E-02
6	K	1	1	--->	L1	3	1	1.099689E+04	6.636310E+08	4.368098E-07	6.666667E-02
7	K	1	1	--->	L1	3	2	1.099663E+04	4.169000E+09	2.744086E-06	6.666667E-02
8	K	1	1	--->	L1	3	3	1.099519E+04	4.935310E+08	3.248480E-07	6.666667E-02
9	K	1	1	--->	L1	5	1	1.099707E+04	3.214890E+10	2.116079E-05	6.666667E-02
10	K	1	1	--->	L1	5	2	1.099520E+04	4.781270E+07	3.147089E-08	6.666667E-02
11	K	1	1	--->	L3	1	1	1.122183E+04	2.791880E+13	1.837649E-02	6.666667E-02
12	K	1	1	--->	L3	1	2	1.122099E+04	2.113180E+14	1.390920E-01	6.666667E-02
13	K	1	1	--->	L3	1	3	1.121933E+04	1.297710E+13	8.541682E-03	6.666667E-02
14	K	1	1	--->	L2	1	4	1.118039E+04	3.166440E+13	2.084189E-02	6.666667E-02
15	K	1	1	--->	L2	1	5	1.118010E+04	3.098930E+14	2.039753E-01	6.666667E-02
16	K	1	1	--->	L2	1	6	1.117639E+04	3.018270E+11	1.986661E-04	6.666667E-02
17	K	1	1	--->	L3	3	1	1.122115E+04	5.327400E+14	3.506558E-01	6.666667E-02
18	K	1	1	--->	L3	3	2	1.122103E+04	3.227110E+14	2.124122E-01	6.666667E-02
19	K	1	1	--->	L3	3	3	1.122099E+04	2.671930E+13	1.758696E-02	6.666667E-02
20	K	1	1	--->	L3	3	4	1.121960E+04	1.081350E+12	7.117575E-04	6.666667E-02
21	K	1	1	--->	L3	3	5	1.121737E+04	2.063830E+11	1.358438E-04	6.666667E-02
22	K	1	1	--->	L2	3	6	1.118048E+04	4.028720E+13	2.651752E-02	6.666667E-02
23	K	1	1	--->	L2	3	7	1.118008E+04	2.005490E+14	1.320037E-01	6.666667E-02
24	K	1	1	--->	L2	3	8	1.117848E+04	1.014910E+13	6.680259E-03	6.666667E-02
25	K	1	1	--->	L3	5	1	1.122159E+04	9.566190E+08	6.296580E-07	6.666667E-02
26	K	1	1	--->	L3	5	2	1.122132E+04	3.873980E+10	2.549900E-05	6.666667E-02
27	K	1	1	--->	L3	5	3	1.121966E+04	4.612830E+08	3.036220E-07	6.666667E-02
28	K	1	1	--->	L2	5	4	1.118046E+04	8.376350E+05	5.513414E-10	6.666667E-02
29	K	1	1	--->	L2	5	5	1.117883E+04	1.181130E+05	7.774339E-11	6.666667E-02
30	K	1	1	--->	L3	7	1	0.000000E+00	0.000000E+00	0.000000E+00	6.666667E-02
31	K	1	1	--->	L3	7	2	0.000000E+00	0.000000E+00	0.000000E+00	6.666667E-02
32	K	1	1	--->	M1	1	1	1.242248E+04	8.190490E+07	5.391078E-08	6.666667E-02
33	K	1	1	--->	M1	1	2	1.242173E+04	1.747600E+08	1.150291E-07	6.666667E-02
34	K	1	1	--->	M1	1	3	1.241853E+04	2.147700E+04	1.413642E-11	6.666667E-02
35	K	1	1	--->	M1	3	1	1.242264E+04	2.100630E+08	1.382660E-07	6.666667E-02
36	K	1	1	--->	M1	3	2	1.242203E+04	1.170950E+08	7.707333E-08	6.666667E-02
37	K	1	1	--->	M1	3	3	1.242085E+04	1.454150E+07	9.571389E-09	6.666667E-02
38	K	1	1	--->	M1	5	1	1.242290E+04	1.056530E+09	6.954207E-07	6.666667E-02
39	K	1	1	--->	M1	5	2	1.242087E+04	2.794620E+06	1.839452E-09	6.666667E-02
40	K	1	1	--->	M3	1	1	1.249309E+04	4.656820E+12	3.065175E-03	6.666667E-02
41	K	1	1	--->	M3	1	2	1.249142E+04	3.371370E+13	2.219076E-02	6.666667E-02
42	K	1	1	--->	M3	1	3	1.248926E+04	1.261140E+13	8.300974E-03	6.666667E-02
43	K	1	1	--->	M2	1	4	1.248638E+04	4.049070E+12	2.665146E-03	6.666667E-02
44	K	1	1	--->	M2	1	5	1.248563E+04	3.205600E+13	2.109964E-02	6.666667E-02
45	K	1	1	--->	M2	1	6	1.248212E+04	7.612930E+10	5.010921E-05	6.666667E-02
