#	Atomic	number	Z=	34	Date:31-10-2019											
																
#	Number	Shelli	2Ji	Eigi	--->	Shellf	2Jf	Eigf	Energy(eV)	BranchingRatio	LevelRadYield	Intensity(eV)	Weight(%)	RadWidth(eV)	AugWidth(eV)	TotWidth(eV)
	1	K1K1	0	1	--->	K1K1	2	1	0.12323	1.10928E-17	0.5980881	5.45042E-20	6.7	6.090876	4.093036	10.18391
	2	K1K1	0	1	--->	K1L1	2	1	11397.79	3.79074E-07	0.5980881	0.000172273	6.7	4.592689	3.086262	7.678951
	3	K1K1	0	1	--->	K1L1	2	2	11397.57	6.18041E-07	0.5980881	0.000280869	6.7	4.357567	2.928261	7.285829
	4	K1K1	0	1	--->	K1L1	2	3	11397.09	7.6472E-07	0.5980881	0.000347512	6.7	4.461983	2.998428	7.46041
	5	K1K1	0	1	--->	K1L1	2	4	11395.89	1.55104E-11	0.5980881	7.04765E-09	6.7	4.460039	2.997122	7.45716
	6	K1K1	0	1	--->	K1L1	2	5	11393.23	5.82359E-11	0.5980881	2.64553E-08	6.7	4.463624	2.999531	7.463155
	7	K1K1	0	1	--->	K1L1	2	6	11357.46	5.87624E-11	0.5980881	2.66106E-08	6.7	4.641971	3.119379	7.761351
	8	K1K1	0	1	--->	K1L2	2	9	11550.55	7.10113E-05	0.5980881	0.03270427	6.7	4.031791	2.709342	6.741132
	9	K1K1	0	1	--->	K1L2	2	10	11543.64	0.005056397	0.5980881	2.327329	6.7	4.507811	3.029224	7.537035
	10	K1K1	0	1	--->	K1L2	2	11	11543.56	0.07088135	0.5980881	32.62463	6.7	4.488767	3.016427	7.505193
	11	K1K1	0	1	--->	K1L2	2	12	11543.29	0.4407226	0.5980881	202.8472	6.7	4.495087	3.020674	7.515761
	12	K1K1	0	1	--->	K1L2	2	13	11541.46	6.73436E-05	0.5980881	0.03099069	6.7	4.498891	3.02323	7.522121
	13	K1K1	0	1	--->	K1L2	2	14	11539.14	0.000913246	0.5980881	0.42018	6.7	4.500117	3.024054	7.524171
	14	K1K1	0	1	--->	K1L3	2	1	11600.08	3.24631E-05	0.5980881	0.01501498	6.7	4.048076	2.720285	6.76836
	15	K1K1	0	1	--->	K1L3	2	2	11599.32	0.000010794	0.5980881	0.004992164	6.7	4.048087	2.720292	6.768379
	16	K1K1	0	1	--->	K1L3	2	3	11597.91	1.55862E-05	0.5980881	0.007207652	6.7	4.026624	2.705869	6.732493
	17	K1K1	0	1	--->	K1L3	2	4	11585.91	0.01723324	0.5980881	7.961061	6.7	4.359207	2.929363	7.28857
	18	K1K1	0	1	--->	K1L3	2	5	11585.44	0.2088177	0.5980881	96.46146	6.7	4.346602	2.920893	7.267494
	19	K1K1	0	1	--->	K1L3	2	6	11585.25	0.1181827	0.5980881	54.59249	6.7	4.348474	2.922151	7.270624
	20	K1K1	0	1	--->	K1L3	2	7	11583.75	0.000827186	0.5980881	0.3820554	6.7	4.342445	2.918099	7.260544
	21	K1K1	0	1	--->	K1L3	2	8	11581.21	1.40176E-05	0.5980881	0.006472914	6.7	4.353758	2.925701	7.279459
