# Atomic number Z= 29  Date:M2-M1-  L3

# Radiative Yields
# Shelli ---> Shellf    Yield
  K      ---> L1    4.571E-08
  K      ---> L2    1.348E-01
  K      ---> L3    2.637E-01
  K      ---> M1    2.277E-08
  K      ---> M2    1.746E-02
  K      ---> M3    3.400E-02
  K      ---> M4    4.971E-05
  K      ---> M5    6.073E-05
  K      ---> N1    9.014E-10
  K      FLyield    4.501E-01

  L1     ---> L1    2.319E-22
  L1     ---> L2    4.914E-06
  L1     ---> L3    1.468E-05
  L1     ---> M1    3.470E-11
  L1     ---> M2    2.313E-04
  L1     ---> M3    4.296E-04
  L1     ---> M4    6.590E-07
  L1     ---> M5    1.178E-06
  L1     ---> N1    1.785E-13
  L1     FLyield    6.824E-04

  L2     ---> L2    3.159E-19
  L2     ---> L3    7.793E-11
  L2     ---> M1    4.384E-04
  L2     ---> M2    3.218E-09
  L2     ---> M3    1.147E-06
  L2     ---> M4    6.897E-03
  L2     ---> M5    1.913E-03
  L2     ---> N1    1.446E-05
  L2     FLyield    9.264E-03

  L3     ---> L3    8.608E-19
  L3     ---> M1    4.139E-04
  L3     ---> M2    5.110E-07
  L3     ---> M3    4.907E-07
  L3     ---> M4    1.693E-03
  L3     ---> M5    6.449E-03
  L3     ---> N1    1.681E-05
  L3     FLyield    8.574E-03

  M1     ---> M1    4.155E-22
  M1     ---> M2    3.356E-06
  M1     ---> M3    7.889E-06
  M1     ---> M4    4.586E-09
  M1     ---> M5    5.369E-09
  M1     ---> N1    1.392E-16
  M1     FLyield    1.125E-05

  M2     ---> M2    2.465E-18
  M2     ---> M3    3.061E-14
  M2     ---> M4    3.303E-05
  M2     ---> M5    7.153E-06
  M2     ---> N1    1.046E-06
  M2     FLyield    4.122E-05

  M3     ---> M3    5.475E-18
  M3     ---> M4    6.980E-06
  M3     ---> M5    3.061E-05
  M3     ---> N1    7.807E-07
  M3     FLyield    3.837E-05


# Non Radiative Yields

# Shelli ---> Shellf    Yield
  K      ---> L1    1.879E-01
  K      ---> L2    2.769E-01
  K      ---> L3    7.881E-02
  K      ---> M1    2.449E-03
  K      ---> M2    3.514E-03
  K      ---> M3    3.222E-04
  K      ---> M4    1.176E-05
  K      ---> M5    1.398E-06
  K      NRyield    5.499E-01


  L1     ---> L2    2.572E-01
  L1     ---> L3    6.723E-01
  L1     ---> M1    4.735E-02
  L1     ---> M2    7.961E-03
  L1     ---> M3    7.374E-04
  L1     ---> M4    1.272E-02
  L1     ---> M5    1.089E-03
  L1     NRyield    9.993E-01


  L2     ---> L3    4.549E-03
  L2     ---> M1    9.167E-02
  L2     ---> M2    5.134E-01
  L2     ---> M3    5.428E-02
  L2     ---> M4    2.657E-01
  L2     ---> M5    6.114E-02
  L2     NRyield    9.907E-01


  L3     ---> M1    8.908E-02
  L3     ---> M2    3.284E-01
  L3     ---> M3    2.271E-01
  L3     ---> M4    2.674E-01
  L3     ---> M5    7.949E-02
  L3     NRyield    9.914E-01


  M1     ---> M2    3.294E-01
  M1     ---> M3    4.706E-01
  M1     ---> M4    1.160E-01
  M1     ---> M5    8.395E-02
  M1     NRyield    1.000E+00


  M2     ---> M4    8.292E-01
  M2     ---> M5    1.708E-01
  M2     NRyield    1.000E+00


  M3     ---> M4    7.705E-01
  M3     ---> M5    2.294E-01
  M3     NRyield    1.000E+00


