# Atomic number Z= 29  Date:10-1-2023

# Number	Shelli	ShellLS 2Ji	Eigi	Total Energy (eV)	Ground Energy(eV)	Partial Width (eV)
	1		K1K1	 1s_1s	 0	 1		-26601.90919		18359.97416
	2		K1L2	 1s_2p	 0	 1		-34939.51707		10022.36628
	3		K1L3	 1s_2p	 2	 1		-34954.55156		10007.33179
	4		K1L2	 1s_2p	 2	 2		-34930.82096		10031.06239
	5		K1L3	 1s_2p	 4	 1		-34964.43436		9997.44899
	6		K1L1	 1s_2s	 0	 1		-34783.47505		10178.4083
	7		K1L1	 1s_2s	 2	 1		-34815.52405		10146.3593
	8		K1M4	 1s_3d	 2	 1		-35968.08761		8993.79574
	9		K1M5	 1s_3d	 4	 1		-35968.41395		8993.4694
	10		K1M4	 1s_3d	 4	 2		-35968.11993		8993.76342
	11		K1M5	 1s_3d	 6	 1		-35968.46426		8993.41909
	12		K1M2	 1s_3p	 0	 1		-35884.27117		9077.61218
	13		K1M3	 1s_3p	 2	 1		-35886.25212		9075.63123
	14		K1M2	 1s_3p	 2	 2		-35883.28204		9078.60131
	15		K1M3	 1s_3p	 4	 1		-35887.47825		9074.4051
	16		K1M1	 1s_3s	 0	 1		-35837.40797		9124.47538
	17		K1M1	 1s_3s	 2	 1		-35838.89060		9122.99275
	18		L3L3	 2p_2p	 0	 1		-43029.41586		1932.46749
	19		L2L2	 2p_2p	 0	 2		-42985.05055		1976.8328
	20		L2L3	 2p_2p	 2	 1		-43024.67741		1937.20594
	21		L3L3	 2p_2p	 4	 1		-43042.69836		1919.18499
	22		L2L3	 2p_2p	 4	 2		-43014.13842		1947.74493
	23		L3M4	 2p_3d	 0	 1		-44013.50001		948.38334
	24		L3M4	 2p_3d	 2	 1		-44013.86900		948.01435
	25		L3M5	 2p_3d	 2	 2		-44012.34249		949.54086
	26		L2M4	 2p_3d	 2	 3		-43993.00435		968.879
	27		L3M5	 2p_3d	 4	 1		-44016.37961		945.50374
	28		L3M4	 2p_3d	 4	 2		-44014.43764		947.44571
	29		L2M4	 2p_3d	 4	 3		-43996.05209		965.83126
	30		L2M5	 2p_3d	 4	 4		-43994.65794		967.22541
	31		L3M4	 2p_3d	 6	 1		-44015.39436		946.48899
	32		L3M5	 2p_3d	 6	 2		-44012.68213		949.20122
	33		L2M5	 2p_3d	 6	 3		-43993.93488		967.94847
	34		L3M5	 2p_3d	 8	 1		-44016.50482		945.37853
	35		L3M3	 2p_3p	 0	 1		-43937.08460		1024.79875
	36		L2M2	 2p_3p	 0	 2		-43915.49254		1046.39081
	37		L3M3	 2p_3p	 2	 1		-43939.74733		1022.13602
	38		L3M2	 2p_3p	 2	 2		-43933.89707		1027.98628
	39		L2M2	 2p_3p	 2	 3		-43916.94321		1044.94014
	40		L2M3	 2p_3p	 2	 4		-43916.28070		1045.60265
	41		L3M2	 2p_3p	 4	 1		-43934.55059		1027.33276
	42		L3M3	 2p_3p	 4	 2		-43933.01530		1028.86805
	43		L2M3	 2p_3p	 4	 3		-43915.22089		1046.66246
	44		L3M3	 2p_3p	 6	 1		-43939.49175		1022.3916
	45		L2M1	 2p_3s	 0	 1		-43867.77388		1094.10947
	46		L3M1	 2p_3s	 2	 1		-43886.21705		1075.6663
	47		L2M1	 2p_3s	 2	 2		-43866.84689		1095.03646
	48		L3M1	 2p_3s	 4	 1		-43887.87945		1074.0039
	49		L2N1	 2p_4s	 0	 1		-44002.97328		958.91007
	50		L3N1	 2p_4s	 2	 1		-44022.95577		938.92758
	51		L2N1	 2p_4s	 2	 2		-44002.93215		958.9512
	52		L3N1	 2p_4s	 4	 1		-44023.03866		938.84469
	53		L1L2	 2s_2p	 0	 1		-42874.82008		2087.06327
	54		L1L3	 2s_2p	 2	 1		-42884.20628		2077.67707
	55		L1L2	 2s_2p	 2	 2		-42843.37619		2118.50716
	56		L1L3	 2s_2p	 4	 1		-42895.57543		2066.30792
	57		L1L1	 2s_2s	 0	 1		-42710.84953		2251.03382
	58		L1M4	 2s_3d	 2	 1		-43847.44537		1114.43798
	59		L1M4	 2s_3d	 4	 1		-43847.60251		1114.28084
	60		L1M5	 2s_3d	 4	 2		-43845.15519		1116.72816
	61		L1M5	 2s_3d	 6	 1		-43847.79640		1114.08695
	62		L1M2	 2s_3p	 0	 1		-43767.05199		1194.83136
	63		L1M3	 2s_3p	 2	 1		-43768.84797		1193.03538
	64		L1M2	 2s_3p	 2	 2		-43766.10905		1195.7743
	65		L1M3	 2s_3p	 4	 1		-43769.78658		1192.09677
	66		L1M1	 2s_3s	 0	 1		-43721.45450		1240.42885
	67		L1M1	 2s_3s	 2	 1		-43722.54548		1239.33787
	68		L1N1	 2s_4s	 0	 1		-43855.42770		1106.45565
	69		L1N1	 2s_4s	 2	 1		-43855.57931		1106.30404
	70		M4M4	 3d_3d	 0	 1		-44946.72432		15.15903
	71		M5M5	 3d_3d	 0	 2		-44940.86175		21.0216
	72		M4M5	 3d_3d	 2	 1		-44946.76621		15.11714
	73		M4M4	 3d_3d	 4	 1		-44949.35397		12.52938
	74		M5M5	 3d_3d	 4	 2		-44947.33800		14.54535
