Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
0 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_2s 	 (1s)1 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2        	 0 	 1 	   	  	 0 	 0 	 0 	 4.12995
1 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_2s 	 (1s)1 (2s)1 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2        	 2 	 1 	   	  	 8213.62 	 2.98762e-07 	 0.00245392 	 5.01522
2 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_2p 	 (1s)1 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)2        	 2 	 2 	   	  	 8328.92 	 0.298951 	 2489.94 	 5.27331
3 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_2p 	 (1s)1 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)2        	 0 	 1 	   	  	 0 	 0 	 0 	 4.55832
4 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_2p 	 (1s)1 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)2        	 2 	 1 	   	  	 8352.65 	 0.0971441 	 811.411 	 4.79914
5 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_2p 	 (1s)1 (2s)2 (2p)5 (3s)2 (3p)6 (3d)10 (4s)2        	 4 	 1 	   	  	 8362.54 	 1.30978e-05 	 0.109531 	 4.57121
6 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_3s 	 (1s)1 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)2        	 0 	 1 	   	  	 0 	 0 	 0 	 7.4038
7 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_3s 	 (1s)1 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)2        	 2 	 1 	   	  	 9237 	 6.00616e-08 	 0.000554789 	 4.97556
8 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_3p 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)2        	 2 	 2 	   	  	 9281.39 	 0.0380292 	 352.964 	 5.15814
9 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_3p 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)2        	 0 	 1 	   	  	 0 	 0 	 0 	 4.92433
10 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_3p 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)2        	 2 	 1 	   	  	 9284.36 	 0.0143993 	 133.688 	 4.90813
11 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_3p 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)2        	 4 	 1 	   	  	 9285.58 	 2.21537e-06 	 0.020571 	 4.87857
12 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_3d 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)2         	 2 	 1 	   	  	 9366.19 	 2.22959e-10 	 2.08828e-06 	 4.97667
13 	 1s_1s 	 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)2              	 0 	 1 	  	  	 1s_3d 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)9 (4s)2         	 4 	 2 	   	  	 9366.23 	 2.73398e-05 	 0.256071 	 4.97541
