Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
0 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_2s 	 (1s)2 (2s)0 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 1 	 1s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6  	 100 	 6.7172535E+03 	 0.010361 	 69.5975 	 20.1583
1 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 3 	 2p*1 2p4 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 57.58811 	 6.8496926E+03 	 0.00915109 	 62.6822 	 23.0905
2 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 3 	 2p*1 2p4 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 57.37851 	 6.8497405E+03 	 0.011861 	 81.2448 	 23.7964
3 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 2 	 2p*1 2p4 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 99.99005 	 6.8812338E+03 	 0.00141762 	 9.75497 	 21.0241
4 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 1 	 2p*2 2p3 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 57.57498 	 6.8905599E+03 	 0.000557588 	 3.84209 	 18.4543
5 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 2 	 2p*2 2p3 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 57.38100 	 6.8906465E+03 	 0.00374275 	 25.79 	 21.5095
6 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 1 	 2p*2 2p3 1s2 2s1 3s2 4s1 3p*2 3p4 3d*4 3d6  	 99.99724 	 6.9018692E+03 	 0.00401542 	 27.7139 	 19.0989
7 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2s_2p 	 (1s)2 (2s)1 (2p)5 (3s)2 (3p)6 (3d)10 (4s)1  	 5 	 1 	 1s2 2s1 3s2 4s1 2p*2 2p3 3p*2 3p4 3d*4 3d6  	 100 	 6.9020772E+03 	 2.20312e-06 	 0.0152061 	 17.8111
8 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 1 	 3 	 2p4 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 83.11485 	 6.9913209E+03 	 0.00421666 	 29.48 	 3.3498
9 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  	 0 	 1 	 1s1 2s2 3s2 4s1 2p*2 2p4 3p*2 3p4 3d*4 3d6 	 100 	 2p_2p 	 (1s)2 (2s)2 (2p)4 (3s)2 (3p)6 (3d)10 (4s)1  	 3 	 3 	 2p*1 2p3 1s2 2s2 3s2 4s1 3p*2 3p4 3d*4 3d6  	 94.34573 	 7.0203909E+03 	 0.0223382 	 156.823 	 3.33892
