Hg	8722.6,14850.8	68260.5,83111.3
Fm	13668.8,27584.4	114343.0,141927.3
Pr	35157.3,41994.11	4458.0,6836.8
Cr	500.3,702.31	5293.35,5995.66
Ca	3598.89,4049.35	302.8,450.46
Zr	15467.0,18008.15	1793.2,2541.1
Si	1686.54,1850.26	100.63,163.72
Rn	10137.2,18056.8	80351.3,98408.1
Pm	4810.0,7430.2	37759.6,45189.77
Mn	557.6,782.94	5769.18,6552.12
Ho	46225.6,55620.8	5942.2,9395.2
Po	9657.6,16936.0	76173.9,93109.9
V	447.5,639.78	4838.5,5478.28
U	93842.0,115609.8	11618.4,21766.1
Os	7823.3,12978.4	60905.6,73884.0
Fr	10379.8,18642.4	82498.8,101141.2
Mo	2016.7,2873.84	17135.0,20008.81
Ac	10870.1,19855.2	86913.0,106768.2
Pa	91488.0,112601.7	11367.6,21113.7
Ar	2880.13,3207.44	219.52,327.31
Es	13411.7,26792.1	111607.8,138399.9
Te	3334.8,4948.5	26875.7,31824.29
Eu	5175.1,8053.7	40470.1,48523.77
I	3484.8,5197.2	27982.3,33179.46
Zn	883.6,1203.31	8465.23,9668.55
Na	1071.12,1080.15	1004.99,1004.99	1041.77,1041.94
Ga	958.5,1309.87	9067.89,10377.76
Cf	108922.8,134957.1	13154.1,26033.4
Cl	2550.96,2832.76	183.31,281.8
Pd	2504.5,3609.87	20747.8,24357.63
Er	47736.8,57487.4	6141.4,9750.6
Mg	100.75,100.75	1211.54,1312.3
Np	11870.8,22433.6	96240.6,118674.2
Nb	1903.2,2700.53	16290.1,18990.67
Yb	6548.4,10486.8	50846.5,61333.3
Xe	29112.8,34566.5	3637.8,5453.7
Ne	849.09,870.73	817.69,817.69
Rh	2370.2,3420.89	19809.3,23230.23
Dy	5746.0,9048.0	44744.3,53792.3
S	2242.56,2481.71	151.29,239.15
Bk	12889.9,25271.0	106290.0,131561.4
Sr	1583.3,2225.51	13889.75,16115.26
Cm	12633.8,24535.4	103706.4,128242.8
Ag	2634.4,3814.27	21709.4,25523.71
Hf	54074.8,65352.0	6963.1,11277.2
Sc	348.7,510.11	3991.57,4501.68
Al	117.7,130.62	1438.94,1569.56
Lu	52445.5,63322.7	6754.4,10877.2
W	7388.1,12106.9	57426.1,69533.0
Nd	4632.4,7130.2	36445.1,43575.27
La	4117.4,6279.0	32660.4,38939.45
Pu	98682.4,121795.4	12124.6,23111.9
Tc	2133.6,3046.63	18003.8,21050.47
Y	1686.5,2380.76	14667.13,17047.9
Ti	396.7,573.33	4404.59,4977.92
Rb	13135.18,15207.74	1483.6,2072.55
Ir	8044.7,13423.3	62694.2,76117.5
Ra	10624.1,19242.3	84685.4,103927.7
Ge	1037.3,1421.74	9692.08,11113.82
Pt	8268.3,13888.7	64515.5,78404.2
K	3229.98,3616.22	260.38,386.25
Ru	18895.0,22127.7	2253.8,3232.69
Ba	3954.4,5997.7	31452.5,37450.23
Cd	2767.9,4026.07	22694.5,26720.58
Fe	617.0,859.8	6266.07,7125.87
In	23703.5,27949.69	2904.6,4246.17
Tl	8953.1,15353.1	70185.1,85538.2
Tm	49276.7,59391.1	6343.5,10114.4
As	1119.5,1540.04	10336.7,11876.74
Ce	33896.2,40446.57	4286.8,6550.4
Kr	1386.9,1925.49	12402.57,14328.2
Th	11117.7,20481.6	89176.6,109658.2
Ta	7174.4,11696.9	55735.0,67431.9
Gd	5361.1,8385.9	41865.8,50251.67
Cu	811.7,1103.12	7884.83,8987.96
Pb	9186.0,15867.7	72145.0,88012.8
P	121.41,199.79	1954.45,2154.24
Bi	74141.0,90536.5	9420.7,16395.4
At	78243.8,95733.5	9896.4,17489.7
Sm	4990.9,7737.9	39101.2,46839.02
Se	11003.49,12666.72	1205.3,1663.23
Sb	25793.9,30501.27	3188.1,4707.3
Co	6784.08,7724.26	679.3,940.18
Au	8494.3,14362.2	66372.5,80734.7
Sn	24736.6,29209.79	3044.7,4473.2
Br	11692.04,13483.86	1294.5,1791.81
Re	7604.4,12537.5	59150.0,71687.5
Am	12379.0,23812.5	101171.7,124984.8
Cs	3794.6,5721.4	30270.5,35991.92
Ni	744.5,1024.13	7323.29,8347.42
Tb	43291.4,51999.5	5552.7,8708.1
