# Atomic number Z= 29  Date:04-11-2021

# Record	Shelli	  2Ji		  Eigi --->		Shellf	  2Jf			Eigf		   Energy (eV)			 Rate(1/s)			 Width(eV)
	   1	   K1	    0	         1 ---> 	 L1L1	    1	         1	     6.7172535E+03	          0.010361	           1.51732
	   2	   K1	    0	         1 ---> 	 L1L2	    1	         3	     6.8496926E+03	        0.00915109	           1.51732
	   3	   K1	    0	         1 ---> 	 L1L2	    3	         3	     6.8497405E+03	          0.011861	           1.51732
	   4	   K1	    0	         1 ---> 	 L1L2	    1	         2	     6.8812338E+03	        0.00141762	           1.51732
	   5	   K1	    0	         1 ---> 	 L1L3	    1	         1	     6.8905599E+03	       0.000557588	           1.51732
	   6	   K1	    0	         1 ---> 	 L1L3	    3	         2	     6.8906465E+03	        0.00374275	           1.51732
	   7	   K1	    0	         1 ---> 	 L1L3	    3	         1	     6.9018692E+03	        0.00401542	           1.51732
	   8	   K1	    0	         1 ---> 	 L1L3	    5	         1	     6.9020772E+03	       2.20312e-06	           1.51732
	   9	   K1	    0	         1 ---> 	 L2L2	    1	         3	     6.9913209E+03	        0.00421666	           1.51732
	  10	   K1	    0	         1 ---> 	 L2L3	    3	         3	     7.0203909E+03	         0.0223382	           1.51732
	  11	   K1	    0	         1 ---> 	 L2L3	    5	         2	     7.0204230E+03	         0.0333692	           1.51732
	  12	   K1	    0	         1 ---> 	 L2L3	    1	         2	     7.0308588E+03	       5.66291e-06	           1.51732
	  13	   K1	    0	         1 ---> 	 L2L3	    3	         2	     7.0309948E+03	       1.38193e-05	           1.51732
	  14	   K1	    0	         1 ---> 	 L3L3	    1	         1	     7.0356903E+03	        0.00135984	           1.51732
	  15	   K1	    0	         1 ---> 	 L3L3	    3	         1	     7.0488567E+03	        0.00298692	           1.51732
	  16	   K1	    0	         1 ---> 	 L3L3	    5	         1	     7.0490514E+03	        0.00537105	           1.51732
	  17	   K1	    0	         1 ---> 	 L1M1	    1	         2	     7.7282242E+03	        0.00246709	           1.51732
	  18	   K1	    0	         1 ---> 	 L1M1	    1	         1	     7.7292681E+03	       1.81152e-05	           1.51732
	  19	   K1	    0	         1 ---> 	 L1M1	    3	         1	     7.7294646E+03	        1.1371e-09	           1.51732
